  Epoch    Train Loss    Test Loss    Base PSNR    Test PSNR
    140   4.3429e-05   4.15377e-05      27.4566      30.493
    141   4.36171e-05  4.11153e-05      27.4694      30.5247
    142   4.34633e-05  4.06292e-05      27.4948      30.5545
    143   4.35229e-05  4.19142e-05      27.4747      30.466
    144   4.36958e-05  4.08954e-05      27.4818      30.5029
    145   4.33529e-05  4.02464e-05      27.444       30.5605
    146   4.34181e-05  4.08983e-05      27.5385      30.5245
    147   4.36232e-05  4.08963e-05      27.4732      30.5451
    148   4.34396e-05  4.13441e-05      27.3978      30.4969
    149   4.32894e-05  4.13341e-05      27.4239      30.5187
    150   4.3133e-05   4.07299e-05      27.4881      30.5271
    151   4.32364e-05  4.06801e-05      27.4673      30.5643
    152   4.32939e-05  4.00539e-05      27.4549      30.5822
    153   4.33881e-05  4.05307e-05      27.4237      30.5759
    154   4.33879e-05  4.07521e-05      27.5014      30.5622
    155   4.30752e-05  4.12641e-05      27.4764      30.5161
    156   4.3099e-05   4.01787e-05      27.3924      30.5831
    157   4.29232e-05  4.02501e-05      27.4471      30.5621
    158   4.30753e-05  4.0267e-05       27.4087      30.5829
    159   4.29645e-05  4.08304e-05      27.4632      30.5449
    160   4.30745e-05  4.09635e-05      27.4164      30.5164
    161   4.31688e-05  4.09671e-05      27.4604      30.5286
    162   4.32703e-05  4.04921e-05      27.5259      30.5919
    163   4.29369e-05  4.10375e-05      27.4471      30.5348
    164   4.29612e-05  4.05034e-05      27.5078      30.563
    165   4.29581e-05  4.08487e-05      27.4765      30.5173
    166   4.3098e-05   4.04184e-05      27.4705      30.5639
    167   4.29593e-05  4.04919e-05      27.4969      30.5709
    168   4.27679e-05  4.01121e-05      27.4367      30.5898
    169   4.26238e-05  4.04768e-05      27.449       30.5775
    170   4.27881e-05  4.06138e-05      27.4348      30.571
    171   4.28273e-05  4.01176e-05      27.4816      30.5931
    172   4.27038e-05  4.03546e-05      27.488       30.5767
