  Epoch    Train Loss    Test Loss    Base PSNR    Test PSNR
-------  ------------  -----------  -----------  -----------
      1   0.000106341  9.07301e-05      27.4157      27.7459
      2   9.1903e-05   7.89288e-05      27.4181      28.2357
      3   8.01563e-05  7.01746e-05      27.4522      28.6685
      4   7.40613e-05  6.64177e-05      27.5084      28.8516
      5   7.06402e-05  6.44052e-05      27.5049      28.9348
      6   6.82261e-05  6.23814e-05      27.4215      29.0614
      7   6.57469e-05  6.16644e-05      27.462       29.1796
      8   6.43799e-05  5.93688e-05      27.4521      29.2366
      9   6.31966e-05  5.92967e-05      27.447       29.2709
     10   6.25713e-05  5.73177e-05      27.4782      29.3984
     11   6.10914e-05  5.78463e-05      27.4658      29.3595
     12   6.04027e-05  5.59585e-05      27.4858      29.443
     13   5.97998e-05  5.63517e-05      27.4589      29.4378
     14   5.86823e-05  5.60695e-05      27.4029      29.4868
     15   5.80954e-05  5.47163e-05      27.4944      29.5637
     16   5.77294e-05  5.3285e-05       27.498       29.6427
     17   5.73162e-05  5.3839e-05       27.4828      29.6013
     18   5.6575e-05   5.36265e-05      27.4172      29.6563
     19   5.63725e-05  5.28962e-05      27.4579      29.7009
     20   5.61181e-05  5.25761e-05      27.4454      29.6445
     21   5.57344e-05  5.21152e-05      27.5033      29.7353
     22   5.4655e-05   5.12826e-05      27.4254      29.7698
     23   5.44175e-05  5.20938e-05      27.4826      29.7496
     24   5.3889e-05   5.14005e-05      27.4271      29.8017
     25   5.41041e-05  5.22326e-05      27.4693      29.7532
     26   5.35148e-05  5.06682e-05      27.427       29.8046
     27   5.33391e-05  5.17125e-05      27.4762      29.7428
     28   5.29206e-05  5.04159e-05      27.5085      29.8259
     29   5.27591e-05  5.02716e-05      27.483       29.8412
     30   5.29793e-05  5.0165e-05       27.4049      29.8471
     31   5.25943e-05  4.95683e-05      27.381       29.8576
     32   5.21063e-05  4.89549e-05      27.4981      29.9006
     33   5.19031e-05  4.81362e-05      27.4495      29.9644
     34   5.19806e-05  4.89566e-05      27.3614      29.9301
     35   5.15029e-05  4.85313e-05      27.4477      29.9433
     36   5.13861e-05  4.8543e-05       27.5         29.9664
     37   5.12175e-05  4.8398e-05       27.4343      29.9888
     38   5.09531e-05  4.83992e-05      27.4279      29.9618
     39   5.04354e-05  4.7125e-05       27.4316      30.0223
     40   5.01458e-05  4.70119e-05      27.5008      30.0261
     41   5.00726e-05  4.68714e-05      27.4608      30.0536
     42   5.00024e-05  4.73461e-05      27.4642      30.0532
     43   4.97866e-05  4.68759e-05      27.4481      30.0754
     44   4.95982e-05  4.66493e-05      27.4254      30.0771
     45   4.96822e-05  4.73643e-05      27.4651      30.0605
     46   4.94457e-05  4.6733e-05       27.4634      30.0793
     47   4.94954e-05  4.70054e-05      27.4299      30.0769
     48   4.88445e-05  4.70617e-05      27.4437      30.0573
     49   4.86009e-05  4.64009e-05      27.4268      30.0967
     50   4.90903e-05  4.58463e-05      27.4098      30.1444
     51   4.88721e-05  4.53585e-05      27.505       30.1736
     52   4.85957e-05  4.57921e-05      27.4335      30.122
     53   4.8685e-05   4.62262e-05      27.4117      30.1153
     54   4.89271e-05  4.49552e-05      27.4856      30.2007
     55   4.84545e-05  4.48521e-05      27.4749      30.2014
     56   4.83854e-05  4.59338e-05      27.4692      30.1534
     57   4.77202e-05  4.54634e-05      27.5174      30.1584
     58   4.85042e-05  4.59316e-05      27.4461      30.1672
     59   4.80394e-05  4.52407e-05      27.4598      30.1817
     60   4.79039e-05  4.57041e-05      27.5325      30.1768
     61   4.76026e-05  4.59824e-05      27.4323      30.161
     62   4.74591e-05  4.43165e-05      27.4706      30.2331
     63   4.75066e-05  4.40798e-05      27.4543      30.2636
     64   4.77343e-05  4.49764e-05      27.4429      30.2192
     65   4.75094e-05  4.54251e-05      27.4334      30.2022
     66   4.71538e-05  4.37806e-05      27.4625      30.2833
     67   4.71156e-05  4.42056e-05      27.4639      30.2446
     68   4.69048e-05  4.55866e-05      27.4432      30.2143
     69   4.67715e-05  4.41917e-05      27.4504      30.2366
     70   4.69327e-05  4.42739e-05      27.4611      30.269
     71   4.66593e-05  4.38138e-05      27.4869      30.288
     72   4.70898e-05  4.36595e-05      27.453       30.3315
     73   4.69273e-05  4.33815e-05      27.4474      30.3068
     74   4.67336e-05  4.37222e-05      27.4562      30.2868
     75   4.65634e-05  4.35195e-05      27.4576      30.3138
     76   4.67415e-05  4.3563e-05       27.4731      30.3063
     77   4.63557e-05  4.40329e-05      27.4743      30.2942
     78   4.61973e-05  4.3616e-05       27.4391      30.3023
     79   4.63374e-05  4.34745e-05      27.4727      30.3018
     80   4.63345e-05  4.3017e-05       27.4404      30.3327
     81   4.59213e-05  4.28751e-05      27.4761      30.3563
     82   4.61342e-05  4.30812e-05      27.4267      30.3576
     83   4.64311e-05  4.34416e-05      27.475       30.3319
     84   4.60392e-05  4.28664e-05      27.3713      30.3925
     85   4.59347e-05  4.28031e-05      27.4388      30.3783
     86   4.57685e-05  4.37026e-05      27.3668      30.3491
     87   4.59368e-05  4.35693e-05      27.4461      30.3203
     88   4.57477e-05  4.20184e-05      27.4456      30.4208
     89   4.57101e-05  4.32302e-05      27.466       30.3837
     90   4.55313e-05  4.30661e-05      27.4576      30.3778
     91   4.54517e-05  4.33949e-05      27.4734      30.3483
     92   4.54293e-05  4.31102e-05      27.42        30.3669
     93   4.53789e-05  4.37471e-05      27.3863      30.3339
     94   4.53849e-05  4.31688e-05      27.4114      30.3806
     95   4.51214e-05  4.3357e-05       27.4411      30.3455
     96   4.50768e-05  4.2984e-05       27.4555      30.3758
     97   4.53121e-05  4.29069e-05      27.3661      30.3922
     98   4.52314e-05  4.25088e-05      27.4388      30.4059
     99   4.54575e-05  4.24898e-05      27.4061      30.3863
    100   4.52933e-05  4.28381e-05      27.4152      30.3734
    101   4.5243e-05   4.26822e-05      27.4753      30.3953
    102   4.48584e-05  4.276e-05        27.4462      30.3959
    103   4.48431e-05  4.21105e-05      27.4477      30.4347
    104   4.50016e-05  4.20618e-05      27.4576      30.4483
    105   4.46447e-05  4.21166e-05      27.4151      30.437
    106   4.45488e-05  4.1892e-05       27.485       30.4313
    107   4.47326e-05  4.17096e-05      27.4454      30.4513
    108   4.44148e-05  4.20663e-05      27.498       30.4652
    109   4.45913e-05  4.2683e-05       27.4836      30.404
    110   4.47464e-05  4.19985e-05      27.4933      30.4619
    111   4.48886e-05  4.14885e-05      27.4076      30.4959
    112   4.47166e-05  4.23777e-05      27.4779      30.4258
    113   4.45482e-05  4.16207e-05      27.4871      30.4826
    114   4.45924e-05  4.20703e-05      27.4668      30.4553
    115   4.45117e-05  4.19198e-05      27.4785      30.4463
    116   4.43448e-05  4.15594e-05      27.4734      30.4543
    117   4.42887e-05  4.15261e-05      27.4586      30.4816
    118   4.44457e-05  4.17645e-05      27.4194      30.4497
    119   4.44601e-05  4.2009e-05       27.4136      30.4578
    120   4.40535e-05  4.16561e-05      27.4752      30.4607
    121   4.38738e-05  4.14372e-05      27.5372      30.4899
    122   4.41406e-05  4.22914e-05      27.4728      30.4435
    123   4.4038e-05   4.15802e-05      27.4587      30.5052
    124   4.42196e-05  4.10433e-05      27.4839      30.5038
    125   4.37647e-05  4.19199e-05      27.4801      30.4411
    126   4.40988e-05  4.07828e-05      27.4578      30.5279
    127   4.3673e-05   4.13326e-05      27.4512      30.5016
    128   4.40373e-05  4.16758e-05      27.454       30.4679
    129   4.3731e-05   4.15064e-05      27.4883      30.4969
    130   4.40138e-05  4.13066e-05      27.4637      30.491
    131   4.4026e-05   4.18117e-05      27.4512      30.4639
    132   4.36687e-05  4.13372e-05      27.4915      30.4816
    133   4.39449e-05  4.09005e-05      27.4868      30.5219
    134   4.39995e-05  4.11209e-05      27.4987      30.4851
    135   4.38573e-05  4.1556e-05       27.4876      30.4911
    136   4.36691e-05  4.06989e-05      27.4502      30.5308
    137   4.36136e-05  4.06492e-05      27.4315      30.5576
    138   4.38284e-05  4.14835e-05      27.4545      30.4534
    139   4.3891e-05   4.09068e-05      27.4756      30.5166
