  Epoch    Train Loss    Test Loss    Base PSNR    Test PSNR
-------  ------------  -----------  -----------  -----------
      1   3.18209e-08  1.38226e-08      28.9251      27.4862
      2   1.41753e-08  1.30502e-08      28.8855      28.0294
      3   1.36876e-08  1.26267e-08      28.9112      28.3295
      4   1.34078e-08  1.24451e-08      28.9217      28.499
      5   1.3307e-08   1.25503e-08      28.9135      28.5964
      6   1.32131e-08  1.24009e-08      28.8752      28.6447
      7   1.31013e-08  1.22232e-08      28.9103      28.7329
      8   1.31534e-08  1.22334e-08      28.9037      28.769
      9   1.30633e-08  1.22817e-08      28.9124      28.8108
     10   1.30443e-08  1.22419e-08      28.9102      28.834
     11   1.30307e-08  1.22054e-08      28.8992      28.8411
     12   1.30023e-08  1.21473e-08      28.9176      28.8749
     13   1.29492e-08  1.2176e-08       28.9215      28.889
     14   1.2938e-08   1.22353e-08      28.9316      28.9069
     15   1.30515e-08  1.21177e-08      28.9171      28.8994
     16   1.30331e-08  1.2079e-08       28.9008      28.8879
     17   1.30079e-08  1.21578e-08      28.9207      28.9107
     18   1.29278e-08  1.2038e-08       28.9312      28.9243
     19   1.29953e-08  1.21922e-08      28.8787      28.8732
     20   1.29782e-08  1.21528e-08      28.8886      28.8846
     21   1.30566e-08  1.2151e-08       28.8904      28.8869
     22   1.29447e-08  1.22088e-08      28.9275      28.9249
     23   1.29407e-08  1.21374e-08      28.9032      28.9011
     24   1.29403e-08  1.20824e-08      28.9122      28.9104
     25   1.29477e-08  1.2067e-08       28.8923      28.8907
     26   1.29541e-08  1.20838e-08      28.9228      28.9216
     27   1.30158e-08  1.20909e-08      28.8976      28.8962
     28   1.29952e-08  1.21706e-08      28.8844      28.8835
     29   1.29075e-08  1.21812e-08      28.8894      28.8878
     30   1.29717e-08  1.21628e-08      28.8793      28.8788
     31   1.30247e-08  1.21328e-08      28.9159      28.9155
     32   1.30065e-08  1.21264e-08      28.9085      28.9079
     33   1.29453e-08  1.2121e-08       28.9021      28.9014
     34   1.29667e-08  1.21659e-08      28.8941      28.8937
     35   1.29477e-08  1.22502e-08      28.9164      28.9161
     36   1.29784e-08  1.20921e-08      28.9178      28.9176
     37   1.30342e-08  1.22883e-08      28.8949      28.8946
     38   1.30432e-08  1.21767e-08      28.914       28.9139
