  Epoch    Train Loss    Test Loss    Base PSNR    Test PSNR
-------  ------------  -----------  -----------  -----------
      1   4.25842e-08  1.10442e-08      29.9743      28.7184
      2   1.09802e-08  1.04367e-08      30.0181      29.245
      3   1.05295e-08  1.01005e-08      29.9895      29.4689
      4   1.02208e-08  9.90578e-09      29.999       29.6283
      5   1.01196e-08  9.82997e-09      29.9753      29.7017
      6   9.98172e-09  9.85304e-09      29.9719      29.7646
      7   1.00441e-08  9.60085e-09      30.0053      29.8446
      8   9.99664e-09  9.58484e-09      29.9878      29.8566
      9   9.94087e-09  9.65557e-09      29.9491      29.8411
     10   9.94776e-09  9.69547e-09      29.9457      29.8531
     11   9.91763e-09  9.69916e-09      29.9903      29.9131
     12   9.8778e-09   9.66868e-09      30.0306      29.963
     13   9.87554e-09  9.54886e-09      29.9889      29.9364
     14   9.94241e-09  9.48343e-09      30.044       29.997
     15   9.89751e-09  9.6635e-09       29.9783      29.9399
     16   9.77606e-09  9.5027e-09       29.9519      29.9197
     17   9.85608e-09  9.50108e-09      29.9787      29.9508
     18   9.93109e-09  9.51835e-09      29.9807      29.9563
     19   9.76036e-09  9.50052e-09      30.032       30.0112
     20   9.79309e-09  9.57249e-09      30.0093      29.9904
     21   9.85222e-09  9.59593e-09      30.0033      29.9878
     22   9.80093e-09  9.5951e-09       30.0058      29.9921
     23   9.7753e-09   9.66253e-09      29.9963      29.9844
     24   9.8591e-09   9.45885e-09      29.9994      29.9887
     25   9.73593e-09  9.58787e-09      30.0024      29.9928
     26   9.7467e-09   9.514e-09        29.9928      29.984
     27   9.77031e-09  9.45534e-09      30.018       30.0109
     28   9.75891e-09  9.47577e-09      29.9847      29.9787
     29   9.8163e-09   9.5898e-09       29.9831      29.9778
     30   9.78296e-09  9.61115e-09      29.9789      29.9743
     31   9.84238e-09  9.42657e-09      29.9741      29.9701
     32   9.78744e-09  9.53671e-09      29.9805      29.9771
     33   9.78811e-09  9.41198e-09      30.0218      30.0186
     34   9.86045e-09  9.42139e-09      29.9834      29.9802
     35   9.79748e-09  9.34495e-09      29.9942      29.9914
     36   9.83357e-09  9.5658e-09       30.0075      30.0052
     37   9.80503e-09  9.49072e-09      29.9769      29.9746
     38   9.74225e-09  9.50008e-09      29.9965      29.9945
     39   9.83598e-09  9.41762e-09      30.0542      30.0526
     40   9.83501e-09  9.38359e-09      29.9824      29.981
     41   9.72574e-09  9.45751e-09      30.0048      30.0031
     42   9.81843e-09  9.35894e-09      30.0101      30.0086
     43   9.78321e-09  9.39493e-09      29.9915      29.9903
     44   9.80455e-09  9.43611e-09      29.9809      29.9798
     45   9.77391e-09  9.44333e-09      30.0005      29.9995
     46   9.83847e-09  9.48542e-09      29.9632      29.9624
     47   9.76623e-09  9.4379e-09       29.9752      29.9744
     48   9.77368e-09  9.50994e-09      30.0065      30.0058
     49   9.69657e-09  9.58669e-09      29.9856      29.9847
     50   9.73193e-09  9.49855e-09      30.017       30.0163
     51   9.73729e-09  9.48346e-09      29.977       29.9763
     52   9.82348e-09  9.4713e-09       30.0237      30.0232
     53   9.79712e-09  9.41301e-09      29.9934      29.9927
     54   9.76534e-09  9.44272e-09      29.9957      29.9952
     55   9.83629e-09  9.64226e-09      30.0137      30.0133
     56   9.8116e-09   9.43289e-09      30.02        30.0197
     57   9.7518e-09   9.34632e-09      29.9715      29.9711
     58   9.81141e-09  9.52233e-09      29.999       29.9986
     59   9.77883e-09  9.57142e-09      30.0174      30.0171
     60   9.81423e-09  9.32581e-09      30.0104      30.0101
     61   9.81634e-09  9.5154e-09       30.0155      30.0152
     62   9.74992e-09  9.56695e-09      29.9585      29.9582
     63   9.76521e-09  9.4732e-09       30.0174      30.0172
     64   9.77746e-09  9.48942e-09      29.9701      29.9698
     65   9.82629e-09  9.50187e-09      30.0073      30.0071
     66   9.83408e-09  9.45711e-09      30.0009      30.0007
     67   9.80759e-09  9.62899e-09      30.004       30.0039
     68   9.72034e-09  9.45824e-09      30.0026      30.0025
     69   9.71909e-09  9.51293e-09      30.0167      30.0166
     70   9.72017e-09  9.53873e-09      29.9935      29.993
     71   9.78519e-09  9.45785e-09      30.0163      30.0162
     72   9.77732e-09  9.53506e-09      29.9977      29.9976
     73   9.81244e-09  9.60909e-09      30.0046      30.0045
     74   9.73829e-09  9.44537e-09      29.996       29.9959
     75   9.74532e-09  9.4753e-09       30.0182      30.0181
