  Epoch    Train Loss    Test Loss    Base PSNR    Test PSNR
-------  ------------  -----------  -----------  -----------
      1   3.98748e-08  1.06336e-08      30.2101      29.2978
      2   1.08644e-08  9.75982e-09      30.2382      29.6881
      3   1.02955e-08  9.5837e-09       30.2012      29.8263
      4   1.00912e-08  9.38501e-09      30.2133      29.9459
      5   9.98569e-09  9.42171e-09      30.216       30.0105
      6   9.90014e-09  9.1575e-09       30.238       30.081
      7   9.78795e-09  9.23263e-09      30.2283      30.1049
      8   9.79628e-09  9.0815e-09       30.2447      30.148
      9   9.81834e-09  9.18779e-09      30.2179      30.1399
     10   9.75341e-09  9.05169e-09      30.2345      30.1718
     11   9.80936e-09  9.14773e-09      30.2098      30.1585
     12   9.64077e-09  9.18804e-09      30.215       30.1745
     13   9.76916e-09  9.10493e-09      30.1885      30.1564
     14   9.73478e-09  9.15957e-09      30.2024      30.177
     15   9.73542e-09  9.08024e-09      30.2295      30.2092
     16   9.75085e-09  9.12771e-09      30.2066      30.1895
     17   9.78667e-09  9.21487e-09      30.2006      30.1872
     18   9.70526e-09  9.23165e-09      30.1929      30.1816
     19   9.70821e-09  9.13556e-09      30.2217      30.2127
     20   9.84954e-09  9.05903e-09      30.2516      30.2424
     21   9.72897e-09  9.18058e-09      30.2147      30.2084
     22   9.77542e-09  9.12939e-09      30.2038      30.1987
     23   9.72207e-09  9.12615e-09      30.1959      30.1914
     24   9.60117e-09  9.10945e-09      30.2162      30.2118
     25   9.71789e-09  9.16338e-09      30.1953      30.192
     26   9.71679e-09  9.09448e-09      30.2172      30.214
     27   9.75349e-09  8.99282e-09      30.1968      30.1939
     28   9.75337e-09  9.11305e-09      30.2387      30.2347
     29   9.65295e-09  8.89591e-09      30.2022      30.2001
     30   9.71219e-09  9.06945e-09      30.217       30.2149
     31   9.72681e-09  8.81263e-09      30.2512      30.2495
     32   9.68311e-09  9.12669e-09      30.2044      30.2023
     33   9.69876e-09  9.07382e-09      30.2096      30.2082
     34   9.73583e-09  8.96796e-09      30.194       30.1925
     35   9.69255e-09  9.07556e-09      30.2069      30.2056
     36   9.74137e-09  9.01079e-09      30.2173      30.216
     37   9.70002e-09  9.18488e-09      30.2103      30.2093
     38   9.70768e-09  8.96343e-09      30.2412      30.2403
     39   9.66839e-09  9.17885e-09      30.1966      30.1957
     40   9.71489e-09  9.17727e-09      30.2595      30.2588
     41   9.65549e-09  9.10116e-09      30.1964      30.1956
     42   9.73433e-09  8.96325e-09      30.227       30.2265
     43   9.75097e-09  9.06751e-09      30.2149      30.2145
     44   9.74323e-09  9.208e-09        30.1914      30.191
     45   9.76304e-09  8.97618e-09      30.2617      30.2614
     46   9.74336e-09  8.92798e-09      30.24        30.2396
     47   9.72776e-09  9.01765e-09      30.2355      30.2351
     48   9.70101e-09  9.12577e-09      30.2516      30.2513
     49   9.8087e-09   9.18159e-09      30.1738      30.1736
     50   9.73499e-09  9.12508e-09      30.2533      30.2528
     51   9.71599e-09  8.89093e-09      30.2501      30.2499
