  Epoch    Train Loss    Test Loss    Base PSNR    Test PSNR
-------  ------------  -----------  -----------  -----------
      1   1.52527e-08  1.06291e-08      29.9276      28.9129
      2   1.04129e-08  1.01953e-08      29.9352      29.5019
      3   1.00337e-08  9.72283e-09      29.9449      29.729
      4   9.8906e-09   9.79313e-09      29.8948      29.7744
      5   9.87078e-09  9.742e-09        29.93        29.8526
      6   9.82979e-09  9.83867e-09      29.9285      29.879
      7   9.76269e-09  9.88216e-09      29.896       29.8664
      8   9.78202e-09  9.71364e-09      29.9214      29.903
      9   9.7392e-09   9.74927e-09      29.9327      29.9205
     10   9.74674e-09  9.55845e-09      29.9194      29.9118
     11   9.72918e-09  9.60973e-09      29.9204      29.9151
     12   9.74045e-09  9.72256e-09      29.8866      29.8834
     13   9.66842e-09  9.54896e-09      29.9251      29.923
     14   9.81786e-09  9.59438e-09      29.9175      29.916
     15   9.73749e-09  9.62736e-09      29.9311      29.9301
     16   9.73287e-09  9.66046e-09      29.899       29.8984
     17   9.7667e-09   9.58326e-09      29.9204      29.9199
     18   9.79566e-09  9.69371e-09      29.8996      29.8989
     19   9.73472e-09  9.61818e-09      29.9379      29.9374
     20   9.74849e-09  9.68895e-09      29.9139      29.9137
     21   9.73136e-09  9.63988e-09      29.8987      29.8985
     22   9.81503e-09  9.4703e-09       29.9783      29.978
     23   9.74214e-09  9.61269e-09      29.9205      29.9204
     24   9.75783e-09  9.67507e-09      29.9325      29.9324
     25   9.73876e-09  9.77326e-09      29.9156      29.9155
     26   9.73163e-09  9.70769e-09      29.9154      29.9153
     27   9.83862e-09  9.66197e-09      29.8793      29.8792
     28   9.75886e-09  9.67252e-09      29.9092      29.9092
     29   9.68366e-09  9.68563e-09      29.9326      29.9325
     30   9.70383e-09  9.69485e-09      29.8991      29.899
     31   9.78837e-09  9.53822e-09      29.9139      29.9138
     32   9.76033e-09  9.65192e-09      29.8937      29.8937
     33   9.76128e-09  9.67979e-09      29.9307      29.9307
     34   9.80027e-09  9.62531e-09      29.9336      29.9333
     35   9.73989e-09  9.5908e-09       29.9192      29.9192
     36   9.75571e-09  9.77752e-09      29.9104      29.9104
     37   9.71492e-09  9.6575e-09       29.9176      29.9176
     38   9.7498e-09   9.80124e-09      29.9033      29.9033
     39   9.772e-09    9.62528e-09      29.9605      29.9604
     40   9.80061e-09  9.73275e-09      29.9302      29.9302
     41   9.73139e-09  9.67122e-09      29.9296      29.9295
     42   9.762e-09    9.65466e-09      29.8957      29.8957
