  Epoch    Train Loss    Test Loss    Base PSNR    Test PSNR
-------  ------------  -----------  -----------  -----------
      1   2.81529e-08  1.32687e-08      28.8009      28.1152
      2   1.37259e-08  1.30336e-08      28.7797      28.3942
      3   1.34375e-08  1.26433e-08      28.7896      28.5429
      4   1.34245e-08  1.27355e-08      28.7938      28.6083
      5   1.33257e-08  1.25098e-08      28.7982      28.6486
      6   1.33916e-08  1.27263e-08      28.7805      28.6671
      7   1.32512e-08  1.25225e-08      28.8163      28.7279
      8   1.32599e-08  1.25614e-08      28.801       28.7277
      9   1.32355e-08  1.25091e-08      28.8221      28.7649
     10   1.33088e-08  1.25877e-08      28.8323      28.7852
     11   1.325e-08    1.25968e-08      28.7871      28.751
     12   1.31872e-08  1.25895e-08      28.7654      28.7375
     13   1.32429e-08  1.25832e-08      28.7915      28.7695
     14   1.3215e-08   1.25773e-08      28.8079      28.7908
     15   1.31729e-08  1.24015e-08      28.8013      28.7879
     16   1.31428e-08  1.26956e-08      28.7904      28.7805
     17   1.31676e-08  1.25165e-08      28.7968      28.789
     18   1.31552e-08  1.26826e-08      28.7846      28.7778
     19   1.31747e-08  1.26894e-08      28.7776      28.7725
     20   1.31607e-08  1.25655e-08      28.777       28.7732
     21   1.32238e-08  1.26312e-08      28.7929      28.7895
     22   1.31909e-08  1.2566e-08       28.7797      28.7769
     23   1.3191e-08   1.25535e-08      28.8259      28.8235
     24   1.31572e-08  1.24846e-08      28.7684      28.7664
     25   1.31902e-08  1.23868e-08      28.8019      28.8004
     26   1.3135e-08   1.25377e-08      28.7993      28.7979
     27   1.32136e-08  1.25196e-08      28.7905      28.7894
     28   1.32056e-08  1.25006e-08      28.7915      28.7901
     29   1.31945e-08  1.24318e-08      28.7773      28.7762
     30   1.32235e-08  1.24003e-08      28.7783      28.7765
     31   1.31845e-08  1.2517e-08       28.8039      28.8032
     32   1.31881e-08  1.24422e-08      28.7837      28.7832
     33   1.31477e-08  1.24962e-08      28.7867      28.7862
     34   1.31661e-08  1.24577e-08      28.8042      28.8038
     35   1.31304e-08  1.24576e-08      28.7738      28.7733
     36   1.30973e-08  1.25744e-08      28.805       28.8045
     37   1.32274e-08  1.25339e-08      28.7949      28.7942
     38   1.31941e-08  1.25159e-08      28.8079      28.8077
     39   1.32132e-08  1.26197e-08      28.7781      28.7778
     40   1.3206e-08   1.25213e-08      28.7897      28.7896
     41   1.31298e-08  1.23898e-08      28.804       28.8037
     42   1.32422e-08  1.25141e-08      28.8068      28.8063
     43   1.32149e-08  1.25693e-08      28.808       28.8079
     44   1.31802e-08  1.25618e-08      28.7969      28.7968
     45   1.32122e-08  1.25387e-08      28.8028      28.8027
